method,lambda,restart,objective,success,L0,A,C,alpha,p0,p1,p2,p3,p4,p5,p6,status,c1,c2,c3,c4,s,gamma
MPL,,14,0.0004274623198768112,True,,,,,1.8414285377988786,4.802819628708384,0.1313614906672312,1.514204509042657,0.1654783678551137,0.38007299085233504,0.7572263062808268,,,,,,,
MPL,,15,0.5498408642753384,True,,,,,2.019261254766414,7267.667718876021,229.4589525861168,1e-06,0.8445079753010597,0.7148101598111317,1.1899506521551035,,,,,,,
MPL,,16,0.00046111044070656313,False,,,,,2.4246563665004044,8.416407180190975,6.043292661637364,1.8706921313348487e-06,0.3218546902688211,1.0920214500732683,1.4657427649538495,,,,,,,
MPL,,17,0.0002569661509150886,True,,,,,2.5588482149795335,68.65231570794862,24.492033138697312,1.5628229974403447e-06,0.5911216716699356,0.27896889103522,1.3889060809378124,,,,,,,
MPL,,18,0.001767693571651153,True,,,,,2.528874513474201,19.902762523130455,90.6096236341911,1e-06,0.39966112421881494,0.39343672148837244,1.1064089360347602,,,,,,,
MPL,,19,0.0012628854996087253,True,,,,,2.821649675461329,10.774911772551778,218.3449209989133,1.8541408227766926e-05,0.5554942360162087,0.010268195286569578,0.20437067237267695,,,,,,,
FSL,,0,0.0031352691608286984,True,0.1,,,,,,,,,,,0.0,3.444884132110397,4.61053037980793e-05,0.000991941977437086,28.455921958805625,0.0993404085001717,1.5967502677509837
FSL,,1,0.003134417033619805,True,0.1,,,,,,,,,,,0.0,3.444763978545803,0.0996001724317647,0.010129727103770754,1152.473904214436,0.09931957549731996,0.6977016078961572
FSL,,2,0.003135133545255527,True,0.1,,,,,,,,,,,0.0,3.444865378707641,0.014359026851034122,0.08900544512749148,1904.2609157909487,0.09933712893992157,1.8772581273851916
FSL,,3,0.000465779558818459,True,2.8152665425849626,,,,,,,,,,,0.0,1.2158074886714874,8.916138036631486,22.74251367535831,43043.345996437754,1.1721254442368167,0.9594427924759102
FSL,,4,0.0009254154183562244,False,2.7456758894449766,,,,,,,,,,,1.0,1.1063367851659205,1.7192212454114797,157.48380223954686,10.836267626157792,0.8847315641703839,0.28830270972466254
FSL,,5,0.00040793057575759083,False,2.8087186293037085,,,,,,,,,,,1.0,1.220674427297586,7.584942938656288,85.3129486025415,103.14922123795823,1.1599051952421615,0.0626557366393023
FSL,,6,0.0031335248387463154,True,0.1,,,,,,,,,,,0.0,3.4446384476670486,0.20578119684584295,0.0006311216561359837,134.28965864502143,0.09929783104492987,1.078891259725513
FSL,,7,0.002132666630495717,False,2.3144018529353696,,,,,,,,,,,1.0,1.175767892375627,279.1509892391424,0.016946274341899853,3.6546064115241492,0.30859233927653756,1.8541815771246806
FSL,,8,0.000465230295060361,True,2.8149271811834864,,,,,,,,,,,0.0,1.2160709731330188,0.0012479399692006917,162748.7018060672,1550.8753993860419,1.1716148173570582,1.5570433933937793
FSL,,9,0.00039383668324010853,True,2.8050345409775232,,,,,,,,,,,0.0,1.2206651208139254,1.4899445418650812,175.5984899834889,0.6188372399583939,1.1520770932893563,1.3607017043611553
