method,restart,objective,success,lambdas,weights,L0,A,C,alpha,fit_group,fit_offset,p0,p1,p2,p3,p4,p5,p6,p7
FSL-MPL+ source,0,0.0007125861966624355,True,,,,,,,FSL-MPL+ source,3,2.5204003597070805,100.93340678561034,184.44419082926768,0.6186816097980842,1e-07,0.9735189082771223,0.6002818692630127,1.521684550133107
FSL-MPL+ source,1,1.1310592345434,True,,,,,,,FSL-MPL+ source,3,2.323770034454253,10616.722560469481,24.412745181325203,1.0479274946445851,1e-07,0.9983134014414566,0.7037358491806417,1.6184940473413667
FSL-MPL+ source,2,0.24808172462809208,True,,,,,,,FSL-MPL+ source,3,2.7874720308212226,4979.5123014566725,0.5455007263051219,1.2002792185577902,8.620679988411705e-05,0.7026641625062954,0.873369358963628,0.3014278784121534
FSL-MPL+ source,3,0.00037841446894245083,True,,,,,,,FSL-MPL+ source,3,1.7569874859445442,5.0680881445724495,0.8699842238974765,0.16455462349841066,3.201864491984969e-05,0.5579107250002785,0.4698538391674805,1.8451438933213884
FSL-MPL+ source,4,0.0003554688526547165,True,,,,,,,FSL-MPL+ source,3,2.6069640983075244,123.77829199458094,14.953580812259537,0.670587070277525,1.9287524604913477e-06,0.521290420600405,0.6320169790605707,0.5589860256876715
FSL-MPL+ source,5,0.00034335300880863683,True,,,,,,,FSL-MPL+ source,3,2.040291033377071,6.72576459652204,1.95565803565914,0.22733760931718253,1.5311217881157177e-05,0.7515216700384914,0.4308024291392236,1.4032477138352737
FSL-MPL+ source,6,0.0072388217277044265,True,,,,,,,FSL-MPL+ source,3,2.501998988295271,168.10050523805094,466.90386060925834,0.5861162274498131,1e-07,1.1865571051434443,1.112888939312425,1.523616908849563
FSL-MPL+ source,7,0.0004962744056815447,True,,,,,,,FSL-MPL+ source,3,2.218478666581132,7.002282272820554,114.73017547714981,0.2593238944665157,1e-07,1.460424589337922,0.8439085657415999,0.8685414504991443
FSL-MPL+ source,8,0.0020423090460088655,True,,,,,,,FSL-MPL+ source,3,1.9630938143480683,103.98980550805254,124.63863648293227,0.5049136085017093,1e-07,0.6845123761550501,0.2681997885234184,0.6258876501817767
FSL-MPL+ source,9,0.008683903062007432,True,,,,,,,FSL-MPL+ source,3,2.7419013356649797,926.9017104329995,0.35551168666742533,0.960926011754732,0.0011507288114955983,0.8411633865705334,0.28495473201060967,0.5901993649991163
FSL-MPL+ source,10,0.002230493552117828,True,,,,,,,FSL-MPL+ source,3,2.6900165006150036,459.5129590330804,3.0275136375779703,0.8573755982436571,0.00015608000251656805,1.352022324153227,0.05000156591874654,0.272706399965917
FSL-MPL+ source,11,0.00037690004410462045,True,,,,,,,FSL-MPL+ source,3,2.3008814142038987,9.036169426808954,0.11859280385115899,0.29777025377165167,0.012926891490787093,1.0916737242955674,0.6680719539480927,1.9270927049998707
FSL-MPL+ source,12,0.0014625936383260935,False,,,,,,,FSL-MPL+ source,3,2.699937365438156,366.0949394598964,0.8000056716529833,0.8340577511425536,0.0013490202263754627,1.419370207456421,0.0752179575703524,0.02567585404373673
FSL-MPL+ source,13,0.0003072967212407764,True,,,,,,,FSL-MPL+ source,3,2.6090363444171865,112.81799204933019,1.1646030616350118,0.663962655809584,5.0052277320692344e-05,1.4594368278053642,0.2531173439191239,0.8153433487738679
FSL-MPL+ source,14,0.00024832210706394477,True,,,,,,,FSL-MPL+ source,3,2.550704515116101,49.65339454638,0.4286841784547775,0.5492062292019227,7.752143880693651e-05,0.9514773581075499,0.6975227738686237,0.12588311277843142
FSL-MPL+ source,15,0.0004391942966638826,False,,,,,,,FSL-MPL+ source,3,2.3040926629217773,5.405894589074569,10.221498737995576,0.24581421395374423,2.2614706993564293e-06,0.9383625309587047,0.6403284913569657,1.3478538941996328
FSL-MPL+ source,16,0.0003739010573486405,True,,,,,,,FSL-MPL+ source,3,2.2423708053544944,22.387866237645813,2.5528052737758413,0.39007485243551937,3.4993597630562597e-06,0.7309490303726611,0.9663304720247853,0.6502197197002453
FSL-MPL+ source,17,0.0010984178538782858,True,,,,,,,FSL-MPL+ source,3,2.3794316914511864,4.756771429495513,210.87697311787448,0.2529463991703444,1e-07,0.916315617074518,0.6877713122092358,0.1624174044081216
FSL-MPL+ source,18,0.021147353122029748,True,,,,,,,FSL-MPL+ source,3,2.4899396920581465,1410.8401078874465,76.61716381259254,0.9048381591919007,1e-07,1.3096606297643636,0.17305848889208753,0.3594164494258256
FSL-MPL+ source,19,0.0003291453830054667,True,,,,,,,FSL-MPL+ source,3,2.6112855176833305,56.96242854273452,0.1470704970752446,0.5785576266487443,0.2068473254746128,0.5850213760176038,1.0863814713572932,0.9927054449491304
