protocol,method,schedule,role,target,region,r2,mae,rmse,finale,relative_finale,worste,mape,auc_error,tailmean_error,n_points
strict,KMTL-m2,wsd,test,ema,decay,-15.02063131756637,0.1395191075506972,0.1427151147451608,0.1012903649112821,0.0381028991594183,0.2047379566693821,0.0514795846384435,0.1394835679381842,0.1395191075506971,340
strict,KMTL-m2,wsd,test,ema,final1000,-1288.3469505339162,0.1043990374328891,0.104435273500713,0.1012903649112821,0.0381028991594183,0.1104134835174797,0.0392194792741652,0.1044378878484284,0.1043990374328891,51
strict,KMTL-m2,wsd,test,ema,stable,0.1647409597842252,0.1399501543749607,0.1666252119882553,0.1998822816518877,0.0719612217022692,0.4174843499408198,0.0473867407417972,0.1398528740635292,0.0222208480549137,1307
strict,KMTL-m2,wsd,test,raw,full,0.0066658055796688,0.1447870484441475,0.1737340713005478,0.0786848209598489,0.029853119697049,0.5491566799958161,0.0497639672971006,0.1446871882889936,0.042231800033095,1647
strict,KMTL-m2,wsd,test,raw,tail20,-6.6740271900324535,0.1358687615527433,0.1443080990164085,0.0786848209598489,0.029853119697049,0.2789544085411934,0.0500155437705078,0.1359040410737449,0.1357690132142073,330
strict,KMTL-m2,wsd,test,raw,decay,-6.545232060693039,0.1377064539527763,0.1463096625170757,0.0786848209598489,0.029853119697049,0.2789544085411934,0.0506421258107513,0.1376693192932311,0.1376096393889025,340
strict,KMTL-m2,wsd,test,raw,final1000,-5.2687659258076485,0.0989608579003126,0.1072286412305049,0.0786848209598489,0.029853119697049,0.1708091337303474,0.0370217017910466,0.0984803191358865,0.0983154274744895,51
strict,KMTL-m2,wsd,test,raw,stable,-0.084480388537117,0.1466289781511607,0.1801853460975301,0.2308543956181004,0.0821952212361131,0.5491566799958161,0.0495355251435878,0.1464462731948012,0.0174204263674684,1307
strict,KMTL-m2,811,extra_unseen,ema,full,0.255881138261943,0.1368877051715621,0.158842049101019,0.097221204093636,0.0365002539913777,0.4171360809269546,0.0471443202146216,0.1368419963624463,0.046301055929073,1647
strict,KMTL-m2,811,extra_unseen,ema,tail20,-33.500345939398734,0.1169799232408321,0.1182216407531691,0.097221204093636,0.0365002539913777,0.1607613679057027,0.0434864772356916,0.1169434145394375,0.1169799232408319,330
strict,KMTL-m2,811,extra_unseen,ema,decay,-25.01340015692989,0.1189874659728687,0.1207444418785175,0.097221204093636,0.0365002539913777,0.2047079448722391,0.0441789265047905,0.1188931382191517,0.1189874659728689,340
strict,KMTL-m2,811,extra_unseen,ema,final1000,-1690.4046097625037,0.0980588799702146,0.0980871042412133,0.097221204093636,0.0365002539913777,0.1046831724891386,0.0367971879805908,0.0981069336861288,0.0980588799702149,51
strict,KMTL-m2,811,extra_unseen,ema,stable,0.1554744027130459,0.1415442325836171,0.1673370052919246,0.2042745130765224,0.0734263962585897,0.4171360809269546,0.0479157309731087,0.1414492043853904,0.0273925789475204,1307
strict,KMTL-m2,811,extra_unseen,raw,full,0.0635513868481534,0.1423781525506039,0.1710655123985965,0.0739444265536759,0.0280060771850246,0.5451882029635211,0.0488722674421413,0.142278226661728,0.0428620148918708,1647
strict,KMTL-m2,811,extra_unseen,raw,tail20,-6.798097118517937,0.1188399865315269,0.1264314367838781,0.0739444265536759,0.0280060771850246,0.2333173150737733,0.0439406906857552,0.1189617958980382,0.1185746081435481,330
