method,lambda,restart,objective,success,L0,A,C,alpha
MTL,0.99,10,0.030411189205326428,True,2.5406224808933366,5.704661900648941,0.0007187748284041491,0.19398053186284375
MTL,0.99,11,1e+30,True,1.942709981670292,45.880439782421995,8.157461447451695,0.4469823604143427
MTL,0.99,12,0.014603843266247614,True,2.089030203893542,6.536942966272075,0.0036360275682901424,0.1754516984403029
MTL,0.99,13,1e+30,True,2.6032041676325557,142.15097930737116,0.342467250684816,0.6655919491984578
MTL,0.99,14,1e+30,True,1.8042942663921349,8.553634011055133,0.06304161205049139,0.19459518763115047
MTL,0.99,15,0.0010183711761045469,True,1.9172691977959215,39.0695256330229,1e-10,0.40163583984719625
MTL,0.99,16,0.00013506185018276925,True,2.8296232329651927,7452.138046096293,0.0021256000906299567,1.2567770004211192
MTL,0.99,17,1e+30,True,2.5442715571021988,575.9560104740262,0.29794380632741224,0.8622567867729761
MTL,0.99,18,0.0027857761836690433,True,2.165944187215727,931.3007515013592,1e-10,0.7653065304720721
MTL,0.99,19,0.014747918471639112,True,2.0734186709721927,12.061071652432263,0.00015032383191900442,0.2629476175567479
MTL,0.99,20,0.00026004980437762586,True,2.7139160617836433,230.3981572649931,0.0016789015609582714,0.7795336890758721
MTL,0.99,21,1e+30,True,1.7928158627863482,73.03381816263443,0.2480278011268433,0.504248923541387
MTL,0.99,22,0.0011588796065009994,True,2.4368082247088316,634.9858778501127,1e-10,0.8034759631031954
MTL,0.99,23,1e+30,True,2.0412134713749985,18152.861687102777,0.8027740309936603,1.3195682045360195
MTL,0.99,24,1e+30,True,2.0590343849668096,34.76357983668165,0.07342111171453353,0.4151057620530907
MTL,0.99,25,1e+30,True,2.301856307910528,7.761284017456106,2.120194472050816,0.21707266767878686
MTL,0.99,26,1e+30,True,2.2281038913340314,56.65421759805786,0.03455586211682659,0.49874742920815435
MTL,0.99,27,0.022346978394206404,True,2.2485075065981555,7.244120365278911,0.0012181883130531162,0.20270151493773905
MTL,0.99,28,0.0024076647319866457,True,1.9463797755305792,215.54321618810644,1e-10,0.5796369958583988
